id_direction,Entry,hour,TotVolume,avgTravelrate,avgAADT,TravelRate at t-1,US_TMC,DS_TMC,Segment,US.t.rate,DS.t.rate,Avg.adj,Lane
23768 E,1,0,402.9,1.063225765,87000,1.0315669,125N17020,125N04904,W-NQ,0.894366155,0.880688438,0.887527297,3
23768 E,1,1,236.5,1.110555657,87000,1.063225765,125N17020,125N04904,W-NQ,0.899255536,0.889750029,0.894502783,3
23768 E,1,2,231,1.042202382,87000,1.110555657,125N17020,125N04904,W-NQ,0.893252367,0.877415422,0.885333895,3
23768 E,1,3,237.9,1.026795563,87000,1.042202382,125N17020,125N04904,W-NQ,0.895215496,0.880748457,0.887981977,3
23768 E,1,4,350.5,1.040356874,87000,1.026795563,125N17020,125N04904,W-NQ,0.889885682,0.878227119,0.884056401,3
23768 E,1,5,876.2,1.005927213,87000,1.040356874,125N17020,125N04904,W-NQ,0.884244885,0.873512765,0.878878825,3
23768 E,1,6,2315.2,0.950215429,87000,1.005927213,125N17020,125N04904,W-NQ,0.870453444,0.860264088,0.865358766,3
23768 E,1,7,3471.7,0.951587251,87000,0.950215429,125N17020,125N04904,W-NQ,0.874570205,0.862822081,0.868696143,3
23768 E,1,8,2898.6,0.941125105,87000,0.951587251,125N17020,125N04904,W-NQ,0.900240044,0.879075677,0.889657861,3
23768 E,1,9,2238.5,0.942329486,87000,0.941125105,125N17020,125N04904,W-NQ,0.899056561,0.878164924,0.888610743,3
23768 E,1,10,2001.6,0.955920969,87000,0.942329486,125N17020,125N04904,W-NQ,0.877239413,0.867177293,0.872208353,3
23768 E,1,11,2062.5,0.945980741,87000,0.955920969,125N17020,125N04904,W-NQ,0.875837217,0.869242342,0.87253978,3
23768 E,1,12,2228.7,0.954021691,87000,0.945980741,125N17020,125N04904,W-NQ,0.880092553,0.868952369,0.874522461,3
23768 E,1,13,2271.4,0.945852461,87000,0.954021691,125N17020,125N04904,W-NQ,0.874455808,0.865174947,0.869815378,3
23768 E,1,14,2413.1,0.947205369,87000,0.945852461,125N17020,125N04904,W-NQ,0.872546668,0.867814542,0.870180605,3
