HERE Station ID,WB TMC,EB TMC,Closest Airport,ROUTE,AADT LOCATION,AADT_2002,AADT_2003,AADT_2004,AADT_2005,AADT_2006,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014
23767,125+04904,125-04903,KRDU,I-440,FROM EXIT 15 TO I-40,69000,70000,74000,88000,88000,90000,86000,88000,88000,91000,93000,95000,85000
23768,125+17020,125-04904,KRDU,I-440,FROM EXIT 14 TO EXIT 15,69000,70000,72000,91000,90000,93000,88000,90000,90000,91000,93000,97000,87000
23769,125+04986,125-17020,KRDU,I-440,FROM EXIT 13 TO EXIT 14,0,0,0,96000,93000,85000,82000,83000,85000,86000,88000,90000,87000
23770,125+04987,125-04986,KRDU,I-440,FROM EXIT 12 TO EXIT 13,102000,98000,99000,112000,109000,99000,95000,95000,97000,100000,102000,103000,105000
23771,125P04988,125N04988,KRDU,I-440,FROM EXIT 11 TO EXIT 12,100000,96000,99000,108000,106000,97000,92000,92000,94000,97000,100000,101000,103000
23772,125P04989,125-04988,KRDU,I-440,FROM EXIT 10 TO EXIT 11,121000,113000,112000,122000,120000,113000,107000,108000,112000,115000,119000,119000,120000
23773,125P04990,125N04990,KRDU,I-440,FROM EXIT 8 TO EXIT 10,128000,121000,118000,127000,124000,119000,113000,112000,116000,122000,126000,125000,127000
23774,125+04991,125-04990,KRDU,I-440,FROM EXIT 7 TO EXIT 8,139000,132000,128000,138000,134000,129000,122000,123000,128000,132000,135000,134000,138000
23775,125P04978,125N04978,KRDU,I-440,FROM EXIT 5 TO EXIT 7,117000,113000,108000,116000,111000,107000,103000,105000,110000,112000,110000,112000,118000
23776,125P04979,125N04979,KRDU,I-440,FROM EXIT 4 TO EXIT 5,114000,112000,106000,112000,107000,105000,100000,102000,107000,109000,107000,108000,114000
23777,125+04981,125N04981,KRDU,I-440,FROM EXIT 3 TO EXIT 4,85000,90000,84000,90000,85000,87000,79000,84000,88000,89000,87000,86000,90000
23778,125+04983,125-04982,KRDU,I-440,FROM EXIT 1D TO EXIT 2,79000,85000,81000,84000,78000,81000,71000,77000,81000,82000,80000,80000,83000
23779,125+04985,125N04984,KRDU,I-440,FROM I-40 TO EXIT 1C,73000,79000,81000,78000,72000,76000,64000,72000,76000,76000,75000,75000,77000
23780,125-05082,125+05083,KRDU,I-540,FROM EXIT 14 TO EXIT 16,0,20000,39000,47000,52000,72000,72000,72000,74000,74000,72000,75000,77000
23781,125N05082,125P05082,KRDU,I-540,FROM EXIT 14 TO EXIT 16,0,20000,39000,47000,52000,72000,72000,72000,74000,74000,72000,75000,77000
23782,125-05081,125+05082,KRDU,I-540,FROM EXIT 11 TO EXIT 14,22000,39000,56000,66000,70000,87000,84000,84000,87000,87000,86000,89000,93000
23783,125N05081,125P05081,KRDU,I-540,FROM EXIT 11 TO EXIT 14,22000,39000,56000,66000,70000,87000,84000,84000,87000,87000,86000,89000,93000
23784,125-05080,125+05081,KRDU,I-540,FROM EXIT 9 TO EXIT 11,31000,45000,59000,69000,73000,87000,84000,84000,87000,87000,87000,90000,94000
23785,125-05079,125+05080,KRDU,I-540,FROM EXIT 7 TO EXIT 9,37000,48000,58000,68000,71000,84000,80000,81000,82000,84000,85000,87000,92000
23786,125N05079,125P05079,KRDU,I-540,FROM EXIT 7 TO EXIT 9,37000,48000,58000,68000,71000,84000,80000,81000,82000,84000,85000,87000,92000
23787,125-04899,125+05079,KRDU,I-540,FROM EXIT 4 TO EXIT 7,41000,53000,61000,70000,74000,85000,82000,82000,84000,86000,86000,88000,93000
23788,125-04899,125P04899,KRDU,I-540,FROM EXIT 4 TO EXIT 7,41000,53000,61000,70000,74000,85000,82000,82000,84000,86000,86000,88000,93000
23789,125-04898,125P04898,KRDU,I-540,FROM EXIT 3 TO EXIT 4,48000,58000,57000,66000,70000,79000,78000,76000,76000,82000,80000,81000,89000
23790,125N04897,125P04897,KRDU,I-540,FROM EXIT 2 TO EXIT 3,52000,62000,66000,74000,77000,88000,87000,84000,85000,91000,89000,90000,98000
23791,125-04896,125+04897,KRDU,I-540,FROM EXIT 1 (I-40) TO EXIT 2,35000,47000,45000,52000,54000,67000,68000,67000,69000,76000,74000,74000,85000
23792,125P04968 ,125N04968,KRDU,SR 1728,E OF SR 1664,0,56000,0,61000,0,62000,0,58000,0,59000,0,62000,75000
23793,125+04970,125-04969,KRDU,SR 1728 (WADE AVE),W OF SR 3009,0,53000,0,64000,0,49000,0,61000,0,66000,0,0,86000
29917,125P17000,125N17000,KJNX,I-40,FROM EXIT 309 TO EXIT 312,51000,49000,52000,53000,56000,58000,51000,55000,54000,56000,56000,58000,57000
29919,125P04837,125-04837,KRDU,I-40,FROM EXIT 301 TO EXIT 303,86000,86000,93000,91000,97000,99000,93000,99000,100000,103000,103000,104000,106000
29924,125+04965,125-04964,KRDU,I-40,FROM EXIT 295 TO EXIT 297,99000,101000,106000,111000,112000,112000,102000,108000,107000,108000,111000,111000,114000
29926,125+04966,125-04965,KRDU,I-40,FROM EXIT 293 TO EXIT 295,101000,103000,109000,111000,109000,113000,101000,108000,106000,109000,112000,114000,118000
29927,125+04870,125-04869,KIGX,I-40,FROM EXIT 274 TO EXIT 276,84000,86000,80000,87000,92000,105000,103000,111000,111000,109000,110000,111000,117000
