"","V1"
"1",-8.97567271497035
"2",-8.89586108567148
"3",-8.95113302414569
"4",-8.83872269331803
"5",-8.71893944622641
"6",-8.65485837622829
"7",-8.55696477221844
"8",-8.06091469117832
"9",-7.87524851323019
"10",-7.64298327897957
"11",-7.37467413485324
"12",-7.38295143924159
"13",-7.01771811833451
"14",-6.63326348055186
"15",-6.16603488758237
"16",-5.63321982749261
"17",-4.76452796402096
"18",-4.00820936555196
"19",-3.27586516338038
"20",-2.41592714723175
"21",-1.73828785633387
"22",-0.640597408901858
"23",0.593769616463051
"24",1.9952032301528
"25",-8.99144826524334
"26",-8.92816478374673
"27",-8.90457044892593
"28",-8.84639262482998
"29",-8.7337049187472
"30",-8.64183786999534
"31",-8.59161911388776
"32",-8.06719726440216
"33",-7.86886535060964
"34",-7.63834500180436
"35",-7.39013351445381
"36",-7.37040804659598
"37",-7.01595346192332
"38",-6.62851269340738
"39",-6.16954393918999
"40",-5.65179449524548
"41",-4.74071061430423
"42",-4.01138128048448
"43",-3.28872935187829
"44",-2.41720062098575
"45",-1.73496277911667
"46",-0.618848231218253
"47",0.620972493321147
"48",1.98030371834738
"49",-9.03407713553329
"50",-8.95870489993132
"51",-8.94796886697202
"52",-8.83969213190393
"53",-8.76851483856394
"54",-8.66063583671649
"55",-8.51324661204367
"56",-8.03013820591541
"57",-7.8417460371807
"58",-7.67593289560055
"59",-7.38316165913486
"60",-7.3775169270582
"61",-7.02930851198606
"62",-6.59560692281042
"63",-6.15126453256888
"64",-5.64020414241952
"65",-4.1754217023549
"66",-2.8504303584972
"67",-3.93601720209578
"68",-2.47730924401055
"69",-1.75264868951362
"70",-0.614523475940651
"71",0.571801270344151
"72",1.97263118705857
"73",-7.57877829460043
"74",-7.54659050109216
"75",-7.48757070646979
"76",-7.40236466930148
"77",-7.30352542132677
"78",-7.183725604634
"79",-7.04470571096661
"80",-6.58260349818871
"81",-6.6755895692491
"82",-6.40902595153843
"83",-5.92026776265735
"84",-5.89877950604909
"85",-5.55139404860797
"86",-5.15499614212023
"87",-4.69686249398662
"88",-4.1718451745127
"89",-3.22355970154952
"90",-1.91885172532324
"91",-1.47930525966959
"92",-0.963330799446373
"93",-0.281343960535493
"94",0.811236803069375
"95",2.0415284028789
"96",3.40529219730378
"97",-7.58537517442432
"98",-7.54651159761122
"99",-7.49127659473926
"100",-7.40609589027942
"101",-7.31512264964419
"102",-7.18378354277608
"103",-7.051750217416
"104",-6.4951126639053
"105",-6.43980264183843
"106",-6.28339423423328
"107",-5.91909801339103
"108",-5.90233678577682
"109",-5.56045134410283
"110",-5.15502756930368
"111",-4.69807570238107
"112",-4.17167799364454
"113",-3.28221453074328
"114",-2.57842070859803
"115",-1.82985154697436
"116",-0.967771051291784
"117",-0.286940570323718
"118",0.802800630878029
"119",2.02334201347735
"120",3.39651806359328
"121",-7.58368240573858
"122",-7.5411188964435
"123",-7.47830263285429
"124",-7.40235514154589
"125",-7.31122536518126
"126",-7.194283373982
"127",-7.02181327903217
"128",-6.57010570825819
"129",-6.49482798282317
"130",-6.2964353530278
"131",-5.95543143436569
"132",-5.89994037443965
"133",-5.55572415497944
"134",-5.15211859227263
"135",-4.69130026540037
"136",-4.16479979871977
"137",-3.27137393023795
"138",-2.42008918270517
"139",-1.76910108117925
"140",-0.955539502739837
"141",-0.273238783743474
"142",0.804035342294854
"143",2.02047141288745
"144",3.40108224657766
"145",-7.48271465124483
"146",-7.43764324895188
"147",-7.38032942596663
"148",-7.3067937328659
"149",-7.20827911007407
"150",-7.11050962992557
"151",-6.97800811242505
"152",-6.44587436750547
"153",-6.28648294197069
"154",-6.10871635228635
"155",-5.8462799783576
"156",-5.83084789396264
"157",-5.48255945835608
"158",-5.08537697510143
"159",-4.61799556421542
"160",-4.09293548465324
"161",-3.19676624014686
"162",-2.49175186319479
"163",-1.98706476191999
"164",-1.07712555314079
"165",-0.214587745784834
"166",0.885056271912813
"167",2.11446235907882
"168",3.49235423939242
"169",-7.51866781373959
"170",-7.46404711621359
"171",-7.40628425010402
"172",-7.3337797168762
"173",-7.23937542820168
"174",-7.12751638827517
"175",-6.99417186682138
"176",-6.53401377104695
"177",-6.32288934716213
"178",-6.11491983070657
"179",-5.85237183907828
"180",-5.84829043243685
"181",-5.49457119331955
"182",-5.09495237358344
"183",-4.63342581949947
"184",-4.1063886549778
"185",-3.19562749077157
"186",-2.37638229267388
"187",-1.98569121001346
"188",-1.24191764723523
"189",-0.239447361816725
"190",0.880355620254241
"191",2.09302285850404
"192",3.46914938751264
"193",-7.47426077853171
"194",-7.43165250780149
"195",-7.38439409724137
"196",-7.30517976282236
"197",-7.2267045061597
"198",-7.12461409163421
"199",-6.98657379547875
"200",-6.51858385897934
"201",-6.29131688971391
"202",-6.09792992513212
"203",-5.82052184067747
"204",-5.80972458347718
"205",-5.47139324583297
"206",-5.0633035678895
"207",-4.59893689688227
"208",-4.03705534011607
"209",-3.05295594429916
"210",-2.34671925559536
"211",-1.77691093123401
"212",-1.07919047395263
"213",-0.205839094090848
"214",0.924325350347573
"215",2.0815589106007
"216",3.4861218177975
"217",-7.38109658815152
"218",-7.34689262230736
"219",-7.27744221251742
"220",-7.21484966563985
"221",-7.1250390584764
"222",-7.01432512431086
"223",-6.89840449613553
"224",-6.32809486606635
"225",-6.15138241121055
"226",-6.02248436747486
"227",-5.76498039497496
"228",-5.7484035571339
"229",-5.40218400223236
"230",-5.00197194002348
"231",-4.55961951570432
"232",-4.01816333610366
"233",-3.00406596026665
"234",-0.795799783979205
"235",-2.37631563416763
"236",-1.20842673102945
"237",-0.116799130930997
"238",0.976000422842772
"239",2.19427616856583
"240",3.59215454837542
"241",-7.42407821896987
"242",-7.35941456599665
"243",-7.31545424897369
"244",-7.24235778616726
"245",-7.1432819700109
"246",-7.02586527645724
"247",-6.9065455531154
"248",-6.46357143606617
"249",-6.25612976967393
"250",-6.03246870768412
