"","x"
"alpha",-3.31842774238287
"alpha_segment[1]",-3.7215327704651
"alpha_segment[2]",-3.94337715645475
"alpha_segment[3]",-6.17365959698172
"alpha_segment[4]",-4.49390197402031
"beta2[1]",0.251855711270001
"beta2[2]",0.0361464660878261
"beta2[3]",0.218794293503534
"beta22[1,1]",-0.941516688046297
"beta22[2,1]",-0.110870939752486
"beta22[3,1]",1.86226285569037
"beta22[4,1]",1.79254362441643
"beta22[1,2]",0.465778652447423
"beta22[2,2]",0.326927469986722
"beta22[3,2]",-0.292209490168327
"beta22[4,2]",-0.0753369485448882
"beta22[1,3]",0.199998704959652
"beta22[2,3]",0.0208652986250111
"beta22[3,3]",1.25913247627283
"beta22[4,3]",0.295065906095609
"beta3",-1.84110778514518
"beta5",0.976923974654353
"beta6[1]",0.942994770551019
"beta6[2]",3.28553699064771
"beta6[3]",2.61922890112638
"beta6[4]",2.80379413532378
"beta6[5]",1.32513623816855
"beta_Flag",0.28922624954885
